match_id;mode;hero;hero_deck;opponent;opponent_deck;coin;result
66323325;ranked;Warrior;Pirate;Druid;Jade;TRUE;loss
66322527;ranked;Warrior;Pirate;Shaman;Aggro;FALSE;win
66312606;ranked;Druid;Jade;Shaman;Jade;TRUE;win
66311233;ranked;Druid;Jade;Warrior;Dragon;FALSE;win
66310234;ranked;Druid;Jade;Mage;Freeze;TRUE;loss
66308666;ranked;Druid;;Warrior;Pirate;TRUE;loss
66306234;friendly;Warrior;Pirate;Mage;Tempo;TRUE;loss
66304945;friendly;Shaman;Jade;Mage;Tempo;FALSE;loss
66301667;friendly;Druid;Jade;Mage;Tempo;TRUE;loss
66300534;friendly;Druid;Jade;Warrior;Pirate;FALSE;win
66299488;friendly;Druid;Jade;Warlock;;TRUE;win
66291636;arena;Mage;;Paladin;;TRUE;loss
66290437;arena;Mage;;Rogue;;TRUE;win
66289980;arena;Mage;;Paladin;;TRUE;loss
66288865;arena;Mage;;Rogue;;FALSE;win
66287823;arena;Mage;;Paladin;;TRUE;win
66286959;arena;Mage;;Mage;;FALSE;win
66285014;arena;Mage;;Mage;;FALSE;win
66284323;arena;Mage;;Mage;;TRUE;loss
66282696;arena;Mage;;Hunter;;TRUE;win
66282033;arena;Mage;;Shaman;;FALSE;win
66280862;arena;Mage;;Hunter;;TRUE;win
66279227;arena;Mage;;Paladin;;FALSE;win
66277037;arena;Mage;;Mage;;FALSE;win
66275323;ranked;Shaman;Jade;Mage;Tempo;FALSE;win
66273399;ranked;Shaman;;Rogue;;TRUE;loss
66272610;ranked;Druid;Jade;Druid;;FALSE;loss
66271764;ranked;Druid;Malygos;Rogue;;FALSE;loss
66271073;ranked;Warrior;Pirate;Druid;Jade;TRUE;loss
66270313;ranked;Warrior;Pirate;Rogue;;FALSE;win
66269784;ranked;Warrior;Pirate;Shaman;Midrange;TRUE;win
66269163;ranked;Warrior;Pirate;Paladin;Murloc;TRUE;win
66268658;ranked;Warrior;Pirate;Shaman;Jade;TRUE;loss
66267596;ranked;Warrior;Pirate;Shaman;Jade;FALSE;win
66267154;ranked;Warrior;;Druid;Jade;FALSE;loss
66266961;ranked;Warrior;Pirate;Druid;Jade;TRUE;win
66266379;ranked;Warrior;Pirate;Warrior;Pirate;FALSE;loss
66264545;ranked;Warrior;Pirate;Rogue;Miracle;FALSE;loss
66264060;ranked;Warrior;Pirate;Druid;;TRUE;win
66263610;ranked;Warrior;Pirate;Rogue;;FALSE;win
66263271;ranked;Warrior;Pirate;Priest;Dragon;TRUE;loss
66262853;ranked;Warrior;Pirate;Druid;;FALSE;win
66357070;ranked;Rogue;;Priest;;TRUE;win
66356449;ranked;Rogue;;Shaman;Aggro;TRUE;win
66355260;ranked;Rogue;;Priest;;FALSE;loss
66354250;ranked;Rogue;;Rogue;Miracle;TRUE;loss
66353585;ranked;Rogue;;Paladin;Murloc;TRUE;win
66353044;ranked;Rogue;;Warrior;Pirate;FALSE;loss
66352501;ranked;Rogue;;Druid;Malygos;FALSE;win
66351637;ranked;Rogue;;Druid;;FALSE;win
66350310;ranked;Rogue;;Warlock;Reno;TRUE;loss
66349667;ranked;Rogue;;Priest;Dragon;TRUE;loss
66348704;ranked;Rogue;;Warlock;Reno;FALSE;loss
66348015;ranked;Rogue;;Warlock;Reno;TRUE;loss
66347306;ranked;Rogue;;Warlock;Reno;FALSE;loss
66346748;ranked;Rogue;;Rogue;;FALSE;loss
66345873;ranked;Rogue;;Rogue;;FALSE;win
66345070;ranked;Rogue;;Mage;Tempo;FALSE;loss
66344229;ranked;Rogue;;Warrior;Pirate;TRUE;win
66343808;ranked;Rogue;;Mage;Reno;TRUE;loss
66342181;ranked;Rogue;;Warrior;Dragon;TRUE;win
66341520;ranked;Rogue;Miracle;Rogue;;TRUE;loss
66340804;ranked;Rogue;;Mage;Tempo;FALSE;loss
66337835;ranked;Rogue;;Druid;Jade;TRUE;win
66337130;ranked;Rogue;;Warlock;Reno;FALSE;win
66336216;ranked;Rogue;;Druid;Jade;TRUE;loss
66335181;ranked;Rogue;;Rogue;;FALSE;loss
66334120;ranked;Rogue;;Priest;Dragon;TRUE;win
66330894;friendly;Mage;Tempo;Rogue;Miracle;FALSE;loss
66329884;friendly;Shaman;;Warrior;Pirate;TRUE;loss
66329394;friendly;Mage;Tempo;Druid;Jade;FALSE;loss
66327155;friendly;Rogue;;Rogue;;FALSE;loss
66326231;friendly;Mage;Tempo;Rogue;;TRUE;win
66325335;friendly;Mage;Tempo;Druid;;FALSE;loss
66324483;friendly;Rogue;;Warrior;Pirate;FALSE;loss
66323795;friendly;Shaman;Midrange;Warrior;Pirate;TRUE;win
66322056;friendly;Mage;Tempo;Paladin;Murloc;FALSE;win
66321526;friendly;Warrior;Pirate;Paladin;;TRUE;win
66321024;friendly;Mage;;Paladin;;FALSE;loss
